id,latitude,longitude,velocidade_maxima,sentido_tipo,direcao_graus,tipo,fonte,atualizado_em
133,-28.63316,-52.867017,0,UNICO,340.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
134,-28.324199,-49.175272,0,AMBOS,67.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
135,-28.325823,-49.177288,0,AMBOS,44.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
136,-28.327433,-49.179027,0,AMBOS,44.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
137,-28.328297,-49.179992,0,AMBOS,52.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
138,-27.256385,-49.937734,0,AMBOS,102.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
139,-28.323083,-49.160088,0,DESCONHECIDO,85.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
140,-28.287357,-49.154586,0,UNICO,138.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
141,-28.287336,-49.154559,0,UNICO,318.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
142,-27.036532,-48.860579,0,UNICO,231.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
143,-27.037102,-48.861331,0,UNICO,231.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
144,-28.278125,-49.175015,0,AMBOS,118.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
145,-28.326771,-49.070452,0,AMBOS,104.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
146,-27.15837,-48.5957,0,AMBOS,72.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
147,-27.020603,-51.133268,0,AMBOS,182.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
148,-28.389597,-49.376152,0,AMBOS,76.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
149,-27.021279,-51.133391,0,UNICO,15.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
150,-28.329487,-49.034719,0,AMBOS,103.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
151,-27.022086,-51.133786,0,UNICO,201.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
152,-28.452094,-49.026721,0,UNICO,13.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
153,-27.024519,-51.142891,0,AMBOS,61.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
154,-28.452084,-49.026777,0,UNICO,193.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
155,-27.026205,-51.145974,0,AMBOS,59.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
156,-28.334833,-49.033307,0,AMBOS,8.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
157,-27.027143,-51.147516,0,AMBOS,44.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
158,-28.265198,-49.176138,0,AMBOS,17.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
159,-27.048709,-51.219461,0,AMBOS,96.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
160,-28.456678,-49.027468,0,UNICO,343.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
161,-27.04818,-51.221164,0,AMBOS,118.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
162,-28.456694,-49.027543,0,UNICO,153.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
163,-27.054903,-51.229221,0,UNICO,145.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
164,-28.446703,-49.025376,0,UNICO,10.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
165,-27.056606,-51.227659,0,UNICO,121.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
166,-28.4465,-49.025385,0,UNICO,190.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
167,-27.057032,-51.22638,0,UNICO,229.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
168,-28.441024,-49.023929,0,UNICO,12.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
169,-27.094084,-51.245826,0,UNICO,206.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
170,-28.266754,-49.175866,0,UNICO,318.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
171,-27.097981,-51.249285,0,AMBOS,22.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
172,-28.26662,-49.176047,0,UNICO,138.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
173,-27.103258,-51.246453,0,AMBOS,100.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
174,-27.103196,-51.243829,0,UNICO,61.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
175,-27.101801,-51.237972,0,DESCONHECIDO,85.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
176,-27.110771,-51.236659,0,UNICO,157.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
177,-27.183039,-51.238964,0,DESCONHECIDO,154.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
178,-27.103022,-51.251357,0,UNICO,137.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
179,-27.091912,-51.362779,0,UNICO,298.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
